{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.2},current price: 328.5340000000001, prediction: 371.1987609863281,real prediction : 309.765
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.3},current price: 271.2882000000001, prediction: 286.1875915527344,real prediction : 232.5329422304941
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.1},current price: 523.1083, prediction: 501.5050048828125,real prediction : 579.6217
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.2},current price: 356.2000000000001, prediction: 396.4032287597656,real prediction : 347.0304940564094
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.3},current price: 377.7417, prediction: 466.4717712402344,real prediction : 365.7660000000001
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.1},current price: 480.2425000000001, prediction: 526.1404418945312,real prediction : 480.6025
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.2},current price: 433.9432, prediction: 561.0975341796875,real prediction : 426.7634
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.3},current price: 408.5025, prediction: 533.55126953125,real prediction : 398.3113000000001
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.1},current price: 494.2733, prediction: 368.6688232421875,real prediction : 453.8
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.2},current price: 494.7813, prediction: 598.3182373046875,real prediction : 484.1549999999999
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.3},current price: 621.1467, prediction: 574.2686157226562,real prediction : 640.1617
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.1},current price: 593.7750000000001, prediction: 824.5902709960938,real prediction : 585.2787999999998
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.2},current price: 649.0567, prediction: 831.562255859375,real prediction : 567.175
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.3},current price: 319.501, prediction: 433.7257995605469,real prediction : 333.97
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.1},current price: 344.615, prediction: 361.61749267578125,real prediction : 318.828
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.2},current price: 327.7169708710151, prediction: 482.6783447265625,real prediction : 316.491
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.3},current price: 590.9072702245192, prediction: 755.9874877929688,real prediction : 588.5004825541756
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.1},current price: 208.9892, prediction: 339.32415771484375,real prediction : 210.5137
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.2},current price: 337.5933, prediction: 472.81976318359375,real prediction : 341.2317
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.3},current price: 376.379, prediction: 534.8833618164062,real prediction : 374.448
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.1},current price: 359.515, prediction: 545.3985595703125,real prediction : 387.0387999999999
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.2},current price: 253.8388999999999, prediction: 257.7599182128906,real prediction : 259.2356
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.3},current price: 214.545, prediction: 523.79052734375,real prediction : 224.04510000000002
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.1},current price: 510.6387999999999, prediction: 515.1892700195312,real prediction : 506.9150000000001
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.2},current price: 445.8533, prediction: 405.8277282714844,real prediction : 443.87
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.3},current price: 253.8388999999999, prediction: 374.9091796875,real prediction : 259.2356
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.1},current price: 443.4734, prediction: 404.7548828125,real prediction : 433.9432
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.2},current price: 590.3788, prediction: 623.3078002929688,real prediction : 581.7138
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.3},current price: 286.57199999999995, prediction: 447.39544677734375,real prediction : 273.22
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.1},current price: 500.3863, prediction: 554.3515625,real prediction : 510.4463
{'coin': 'bitcoin', 'test_num': 3, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.2},current price: 444.25, prediction: 348.0277404785156,real prediction : 445.8533
